SoundChange,Input,Output,Context,Pages,Etyma,Order,TargetFidelity,SourceFidelity
R1,0,0,0,-1,0,0,0,0
R2A,0,-1,0,0,0,0,0,1
R2B,0,0,0,0,0,0,0,1
R3A,0,0,0,0,0,1,0,0
R3B,0,0,0,0,0,0,0,0
R4A,1,0,0,0,-1,-1,0,1
R4B,0,0,0,0,0,0,0,0
R5A,0.5,0,0,0,0.5,0,-1,0
R5B,0,0,0,0,0,0,0,0
R5C,0,0,0,0,0,0,-1,0
R6,0,0,0,0,-1,0,0,0
R7,0,0,-1,0,0,0,0,-1
R8,0,0,0,0,0,0,0,0
R9,0,0,0,0,-1,0,0,0
R10A,0,0,0,0,0,0,0,0
R10B,0,0,0,0,0,0,0,0
R10Ca,0,0,0,0,-1,-0.5,0,0
R10Cb,0,0,0,-1,-1,0,0,-1
R11,1,1,0,0,0,0,0,-1
R12,0,0,-1,0,-0.5,0,0,0
R13A,-1,-1,-1,0,0,0,0,-1
R13B,0,0,0,0,0,0,0,0
R13C,-1,0,-1,0,0,0,-1,-1
R13D,0,0,0,0,-1,0,0,0
R13E,0,0,0,0,0,0,0,0
R13F,0,0,0,0,0,0,-1,0.5
R13G,0,0,0,0,0,0,0,0
R14,0,0,0,0,-1,0,0,0
R15,0.5,0,-1,0,0,0,0,-1
R16,0,0,0,0,-1,0,0,0
R17,0,0,0,0,-1,0,0,0
R18A,0,0,0,0,0,0,-1,0
R18B,0,0,0,0,0,0,0,-1
R18C,0,0,0,0,0,0,0,-1
R18D,0,0,-0.5,0,-1,0,0,0
R18E,0,0,0,0,0,0,-1,0
R19,0,0,0,0,0,0,0,0
R20,-1,-1,0,0,0,0,-1,-1
R21,0,0,1,0,0,0,0,0
R22A,0,0,0,0,0,0,0,0
R22B,0,0,0,0,-1,0,0,0
R22C,0,0,0,0,0,0,0,0
R22D,0,0,0,0,0,0,0,0
R22E,0,0,0,0,0,0,0,0
R23,0,0,0,0,0,0.5,0,1
R24,0,0,0,0,-1,0,0,-1
R25A,0,0,0,0,0,0,-1,0
R25B,0,0,0,-1,0,0,0,-1
R25C,0,0,0,0,0,0,0,0
R26A,-1,-1.5,0,0,0,0,0,0
R26B,0,0,0,0,0,0,0,1
R27A,0,0,0,0,0,0,0,0
R27B,0,0,0,-1,-1,0,0,0
R28,0,0,0,0,0,0,0,0
R29A,0,0,0,0,-1,0,0,0
R29B,0,0,0,0,-1,0,0,0
R30,0,0,0,0,-1,0,0,0
R31A,0,0,0,0,-1,0,-1,-1
R31B,-1,0,0,-1,-1,-1,-1,-1
R32,-1,-1,-1,0,0,0,0,0
R33,0,0,-1,0,0,-1,-1,-1
R34,0,0,0,0,0,0,0,0
R35A,-1,0,0,0,-1,0,-1,-1
R35B,-1,0,0,0,-1,0,0,0
R36A,0,0,0,0,-1,0,0,0
R36B,0,0,0,0,-1,0,0,0
R36C,0,0,0,0,0,0,0,0
R37A,0,0,0,0,-1,0,0,0
R37B,0,0,0,0,-1,0,-1,-1
R38,0,0,0,0,0,0,0,0
R39,0,0,0,0,0,0,0,0
R40,0,0,0,0,0,0,0,0
R41A,0,0,0,0,-1,0,0,-0.5
R41B,0,0,-1,0,0,0,0,0
R42A,0,0,0,0,0,-0.5,0,0
R42B,0,0,0,0,0,0,0,0
R43,0,0,0,0,0,0,0,0
R44,-1,0,0,0,0,0,0,0
R45A,0,0,-0.5,0,0,0,0,0
R45B,-0.5,0.5,0,0,0,0,0,0
R46A,-1,0,0,0,-1,0,-1,0
R46B,-1,0,0,0,0,0,0,-1
R47A,0,0,0,0,0,0,0,0
R47B,0,0,0,0,0,0,0,0
R48,0,0,0,0,0,0,0,0
R49,0,0,0,0,-1,0,0,0
R50,0,0,0,0,0,0,0,0
R51,0,0,0,0,0,0,0,0
R52A,0,0,0,0,0,0,0,0
R52B,0,0,0,0,0,0,0,0
R53A,0,0,0,0,0,0,0,0
R53B,0,0,-0.5,0,0,0,0,0
R54,0,0,0,0,0,0,0,0
R55,0,0,0,0,0,0,0,-1
R56,0,0,0,0,0,0,0,0
R57,0,0,0,0,0,0,0,0
R58,0,0,0,0,0,0,0,0
R59A,0,0,-0.5,0,0,0,0,0
R59B,0,0,0,0,0,0,0,-0.5 
R59C,0,0,0,0,0,0,0,0
R60,0,0,0,0,0,0,0,0
